"Angus Council","56.703, -2.923"
"Armagh","54.34572, -6.6512"
"Babergh District Council","52.04910, 0.9486"
"Barnsley Borough Council","53.554292, -1.482914"
"Bracknell Forest Council","51.414153, -0.75302"
"Braintree District Council","51.881861, 0.55287"
"Breckland District Council","52.67245, 0.95945"
"Brighton and Hove City Council","50.824925, -0.16808"
"Caerphilly County Borough Council","51.657605, -3.18917"
"Calderdale","53.723958, -1.86060"
"Castle Point","51.56242, 0.58493"
"Central Bedfordshire Council","52.03607, -0.36037"
"Ceredigion County Council","52.24051, -4.2661"
"Colchester Borough Council","51.89262, 0.89298"
"Conwy County Borough Council","53.28484, -3.83183"
"Craigavon Borough Council","54.449903, -6.38651"
"Craven District Council","53.961700, -2.02449"
"Denbighshire Council","53.11535, -3.30874"
"Dumfries and Galloway Council","55.06969, -3.60751"
"East Ayrshire Council","55.60618, -4.47870"
"Forest of Dean District Council","51.77004, -2.61904"
"Fylde Borough Council","53.75051, -3.03365"
"Gravesham Borough Council","51.440137, 0.36851"
"Gwynedd Council","53.3668,-2.73308"
"Hambleton","51.0642,-1.31952"
"Hinckley & Bosworth District Council","51.0654,-0.320515"
"Inverclyde Council","52.0575,1.14781"
"Isle of Anglesey Council","50.6985,-1.29857"
"Limavady Borough Council","53.2313,-0.542168"
"Lisburn City Council","53.4086,-2.98688"
"London Borough of Bexley","51.552443, -0.30256"
"London Borough of Brent","51.4042,0.01998"
"London Borough of Ealing","51.6537,-0.080609"
"London Borough of Hounslow","51.4984,-0.1284"
"Mid Devon District Council","51.0023,-0.108714"
"New Forest District Council","54.9786,-1.6134"
"Newark and Sherwood","53.0126,-2.22707"
"Newtownabbey Borough Council","55.6132,-4.67356"
"North Hertfordshire District Council","55.8217,-3.97258"
"North Yorkshire County Council","52.2331,-0.88348"
"Orkney Islands Council","51.7531,-1.26066"
"Peterborough City  Council","50.6883,-1.99447"
"Renfrewshire Council","53.8734,-2.39047"
"Richmondshire","53.6175,-2.15419"
"Rotherham Metropolitan Borough Council","51.5013,-0.194346"
"Rugby","51.3723,-0.485498"
"Rutland County Council","54.13946, -0.78956"
"Ryedale","53.5118,-2.33931"
"Scottish Borders Council","51.1293,-3.00417"
"Selby","51.2726,0.188988"
"Shetland Islands Council","52.7041,-2.73263"
"South Norfolk","52.1265,-0.99856"
"South Oxfordshire District Council","53.6901,-2.70654"
"South Somerset District Council","52.6263,-2.19136"
"Staffordshire Moorlands District Council","51.9014,-0.202988"
"Surrey County Council","51.3388,-0.743396"
"Thurrock Council","51.2741,0.394473"
"Torfaen County Borough","51.025,-4.20173"
"West Dunbartonshire","53.5527,-2.90369"
"West Lindsey","55.9041,-3.55499"
"West Oxfordshire","51.0575,-3.38051"
"Wrexham County Borough Council","52.0781,-2.04012"
